,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_MAX_SCORE,CURRENT_BAL,PREVIOUS_BAL,LAST_PAYMENT,CRED_UTILIZATION_PERCENT,default_payment_next_month
0,20000,2,2,1,24,2,3913,3102,0,20,1
1,120000,2,2,2,26,2,2682,1725,0,2,1
2,90000,2,2,2,34,0,29239,14027,1518,32,0
3,50000,2,2,1,37,0,46990,48233,2000,94,0
4,50000,1,2,1,57,0,8617,5670,2000,17,0
5,50000,1,1,2,37,0,64400,57069,2500,129,0
6,500000,1,1,2,29,0,367965,412023,55000,74,0
7,100000,2,2,2,23,0,11876,380,380,12,0
8,140000,2,3,1,28,2,11285,14096,3329,8,0
9,20000,1,3,2,35,0,0,0,0,0,0
10,200000,2,3,2,34,2,11073,9787,2306,6,0
11,260000,2,1,2,51,2,12261,21670,21818,5,0
12,630000,2,2,2,41,0,12137,6500,1000,2,0
13,70000,1,2,2,30,2,65802,67369,3200,94,1
14,250000,1,1,2,29,0,70887,67060,3000,28,0
15,50000,2,3,3,23,2,50614,29173,0,101,0
16,20000,1,1,2,24,2,15376,18010,3200,77,1
17,320000,1,1,1,49,0,253286,246536,10358,79,0
18,360000,2,1,1,49,1,0,0,0,0,0
19,180000,2,1,2,29,1,0,0,0,0,0
20,130000,2,3,2,39,0,38358,27688,3000,30,0
21,120000,2,2,1,39,0,316,316,316,0,1
22,70000,2,2,2,26,2,41087,42445,2007,59,1
23,450000,2,1,1,40,0,5512,19420,19428,1,1
24,90000,1,1,2,23,0,4744,7070,5757,5,0
25,50000,1,3,2,23,0,47620,41810,1973,95,0
26,60000,1,1,2,27,1,-109,-425,0,0,1
27,50000,2,3,2,30,0,22541,16138,1300,45,0
28,50000,2,3,1,47,0,650,3415,3415,1,0
29,50000,1,1,2,26,0,15329,16575,1500,31,0
30,230000,2,1,2,27,0,16646,17265,17270,7,0
31,50000,1,2,2,33,2,30518,29618,1718,61,1
32,100000,1,1,2,32,0,93036,84071,3023,93,0
33,500000,2,2,1,54,0,10929,4152,4152,2,0
34,500000,1,1,1,58,0,13709,5006,5006,3,0
35,160000,1,1,2,30,0,30265,-131,131,19,0
36,280000,1,2,1,40,0,186503,181328,8026,67,0
37,60000,2,2,2,22,0,15054,9806,1500,25,0
38,50000,1,1,2,25,1,0,780,780,0,1
39,280000,1,1,2,31,2,498,9075,9075,0,0
40,360000,1,1,2,33,0,218668,221296,10000,61,0
41,70000,2,1,2,25,0,67521,66999,3000,96,0
42,10000,1,2,2,22,0,1877,3184,1500,19,0
43,140000,2,2,1,37,0,59504,61544,3000,43,0
44,40000,2,1,2,30,2,18927,21295,3000,47,0
45,210000,1,1,2,29,0,0,0,0,0,1
46,20000,2,1,2,22,2,14028,16484,3000,70,1
47,150000,2,4,2,46,0,4463,3034,1013,3,1
48,380000,1,2,2,32,0,22401,21540,21540,6,0
49,20000,1,1,2,24,0,17447,18479,1318,87,0
50,70000,1,3,2,42,2,37042,36171,0,53,1
51,100000,2,3,3,43,0,61559,51163,2000,62,0
52,310000,2,2,1,49,0,13465,7867,7875,4,0
53,180000,2,1,2,25,2,41402,41742,1300,23,0
54,150000,2,1,2,29,2,46224,34993,1600,31,0
55,500000,2,1,1,45,0,1905,3640,3640,0,0
56,180000,2,3,1,34,0,16386,15793,8500,9,0
57,180000,2,2,1,34,0,175886,173440,8083,98,0
58,200000,2,1,2,34,3,1587,1098,0,1,0
59,400000,2,2,1,29,0,400134,398857,17000,100,0
60,500000,2,3,1,28,0,22848,23638,1516,5,1
61,70000,1,2,1,39,0,70800,72060,4025,101,0
62,50000,1,1,2,29,2,24987,24300,0,50,1
63,50000,2,2,1,46,0,28718,29166,1000,57,1
64,130000,2,2,1,51,0,99,0,0,0,0
65,200000,1,1,1,57,2,152519,148751,0,76,1
66,10000,1,2,1,56,2,2097,4193,2300,21,1
67,210000,2,1,2,30,2,300,300,300,0,0
68,130000,2,3,2,29,2,-190,-9850,0,0,0
69,20000,1,4,2,22,2,18565,17204,0,93,0
70,80000,1,1,2,31,0,780,0,0,1,0
71,320000,1,2,2,29,2,58267,59246,2500,18,1
72,200000,2,2,1,32,2,9076,5787,5818,5,0
73,290000,2,1,2,37,1,0,0,0,0,0
74,340000,1,1,2,32,0,3048,5550,5713,1,0
75,20000,1,2,2,24,2,14619,17216,2850,73,0
76,50000,1,3,2,25,0,42838,37225,1759,86,0
77,300000,2,1,1,45,0,291,291,291,0,0
78,30000,2,2,2,22,0,28387,29612,1686,95,1
79,240000,2,2,2,44,1,0,0,0,0,1
80,470000,2,3,3,33,0,165254,157784,6400,35,0
81,360000,2,1,2,26,0,23411,27796,4796,7,0
82,60000,1,3,2,30,0,26324,27471,1576,44,1
83,400000,2,2,1,44,2,131595,139060,10700,33,0
84,50000,2,3,2,49,0,48909,47863,1676,98,0
85,160000,1,2,2,33,0,130028,107808,4400,81,0
86,360000,2,1,1,45,2,390,1170,1170,0,1
87,160000,2,2,2,32,0,3826,4751,1147,2,0
88,130000,2,1,1,35,0,81313,117866,40000,63,0
89,20000,1,3,2,44,2,8583,8303,0,43,0
90,200000,1,1,1,53,2,138180,140774,6300,69,1
91,280000,2,1,2,39,0,7524,0,0,3,0
92,100000,2,1,2,27,0,-2000,5555,7555,-2,0
93,160000,2,2,1,37,0,880,1602,1602,1,0
94,60000,2,2,2,23,0,45648,46850,1937,76,0
95,90000,1,2,2,35,0,83725,85996,3621,93,0
96,360000,1,1,1,43,0,3967,8322,8339,1,0
97,150000,1,1,2,27,0,86009,86108,4031,57,0
98,50000,2,3,1,22,0,18722,18160,1411,37,0
99,20000,1,2,1,38,0,17973,19367,1699,90,1
100,140000,1,1,2,32,0,672,10212,10212,0,0
101,380000,2,1,2,30,0,-81,-303,223,0,0
102,480000,1,1,1,63,2,422069,431342,16078,88,0
103,50000,2,3,2,22,0,44698,42254,1767,89,1
104,60000,2,2,2,26,2,56685,55208,0,94,0
105,70000,2,2,2,24,0,5580,0,0,8,0
106,80000,2,2,1,36,0,6108,2861,2861,8,0
107,350000,1,1,2,52,0,713,2272,2272,0,0
108,130000,1,2,2,38,0,171438,178382,10908,132,0
109,360000,1,2,1,35,1,-103,-103,0,0,0
110,330000,2,1,1,31,2,105879,108431,9260,32,0
111,50000,1,3,1,47,2,13244,14722,2000,26,0
112,280000,1,2,1,41,3,135673,138532,6500,48,0
113,100000,2,1,2,24,0,52128,52692,2000,52,0
114,50000,1,2,2,41,0,19015,19294,1340,38,0
115,30000,1,1,2,24,3,18199,17618,0,61,1
116,240000,1,1,2,28,0,326,326,326,0,0
117,80000,1,2,2,26,2,14029,15493,2000,18,1
118,400000,1,2,1,34,0,19660,9666,9677,5,0
119,240000,2,2,2,38,0,50254,51445,2000,21,0
120,50000,1,3,2,37,3,46004,45976,1000,92,1
121,450000,1,1,1,40,1,0,0,0,0,1
122,110000,2,1,1,48,1,0,0,0,0,0
123,310000,2,2,1,35,2,304991,311243,13019,98,1
124,20000,1,1,2,27,0,19115,18962,1404,96,0
125,20000,1,2,2,23,1,0,0,0,0,0
126,200000,1,3,2,52,0,110151,99530,3568,55,0
127,180000,1,1,1,36,0,163736,116422,4655,91,1
128,50000,1,2,1,51,0,3347,3899,1000,7,1
129,60000,1,3,1,55,3,60521,61450,2504,101,0
130,30000,2,1,2,23,1,4000,5645,5645,13,0
131,240000,1,1,2,41,1,95,2622,2622,0,0
132,420000,1,2,1,34,0,253454,247743,9744,60,0
133,330000,1,3,1,46,0,227389,228719,8210,69,0
134,30000,2,2,2,22,0,28452,26145,2000,95,0
135,240000,1,2,1,34,2,10674,12035,1500,4,0
136,150000,1,1,2,27,0,17444,19342,2500,12,0
137,210000,2,2,1,33,0,7166,7997,1500,3,0
138,50000,2,3,1,51,0,752,300,300,2,1
139,50000,1,1,2,24,0,50801,50143,2360,102,0
140,240000,1,1,2,47,1,0,0,0,0,1
141,180000,1,2,2,28,0,1832,0,0,1,0
142,50000,1,2,2,23,2,10131,10833,1000,20,0
143,170000,1,2,2,29,0,12159,10000,10000,7,0
144,20000,1,1,2,29,0,1199,15586,15586,6,0
145,50000,1,1,2,28,3,4999,5913,1000,10,0
146,170000,2,2,2,27,0,19269,20313,1661,11,1
147,200000,1,1,2,34,2,197236,176192,8000,99,0
148,80000,2,2,1,23,3,9168,10522,1650,11,0
149,260000,2,1,1,60,1,-1100,-1100,0,0,0
150,140000,1,2,1,32,2,86627,78142,3455,62,0
151,80000,1,1,2,25,0,42444,55744,30000,53,0
152,350000,1,1,2,41,1,208,2906,2906,0,0
153,280000,2,2,1,56,0,208775,182350,8042,75,0
154,30000,2,3,2,26,0,9014,10406,1700,30,0
155,140000,1,1,1,34,0,23944,28049,5000,17,0
156,200000,2,1,2,37,0,105420,102870,4000,53,0
157,200000,2,3,2,30,0,196031,196143,7300,98,0
158,210000,1,3,1,45,6,115785,122904,10478,55,1
159,50000,1,3,1,57,3,12854,12362,0,26,0
160,30000,1,1,2,41,2,24357,27453,3500,81,0
161,50000,1,2,2,27,2,390,390,390,1,0
162,290000,1,3,1,47,0,1234,396,396,0,0
163,250000,2,1,1,34,2,141223,156858,17994,56,0
164,60000,2,2,1,46,0,21148,23803,3000,35,0
165,110000,2,1,2,27,0,101640,104795,5500,92,0
166,370000,1,1,2,50,0,6093,15130,15383,2,0
167,100000,1,2,1,27,2,102349,96847,3166,102,0
168,90000,2,2,1,35,2,72112,73854,3500,80,0
169,50000,2,2,2,22,0,28040,29092,1510,56,0
170,270000,1,2,2,37,0,37695,33397,5000,14,0
171,300000,2,1,2,30,0,688,3280,3288,0,0
172,50000,2,2,2,22,0,8567,15273,15000,17,0
173,50000,2,1,2,24,1,-709,-709,0,-1,1
174,360000,1,1,2,29,1,0,0,0,0,0
175,130000,1,3,1,56,3,64617,65978,3000,50,1
176,80000,1,1,2,30,0,6187,100,504,8,0
177,50000,1,2,2,30,2,48860,47801,0,98,0
178,20000,2,2,2,22,0,16001,12622,1212,80,0
179,80000,2,2,1,29,2,77883,81811,5800,97,0
180,240000,1,1,2,37,2,12212,26578,15000,5,0
181,80000,2,3,2,35,0,49608,12412,12500,62,0
182,500000,2,1,1,47,0,56422,110616,70010,11,0
183,60000,2,2,1,24,0,58024,57891,2500,97,1
184,20000,1,2,2,25,0,10642,11677,1200,53,0
185,100000,2,2,1,38,2,14483,13961,0,14,1
186,360000,2,1,2,32,1,2616,57077,57087,1,0
187,200000,2,3,2,47,2,199436,202947,8214,100,1
188,130000,2,2,1,34,1,0,5396,5396,0,0
189,20000,2,2,2,31,5,21703,21087,0,109,0
190,310000,1,1,2,32,0,59901,62147,10020,19,0
191,60000,2,1,2,27,2,19625,20347,1342,33,1
192,180000,2,1,2,29,0,11386,199,199,6,0
193,180000,2,1,2,24,2,14670,22087,37867,8,0
194,50000,1,2,1,36,0,47790,18114,2000,96,0
195,50000,2,1,2,24,2,36166,37188,1900,72,1
196,150000,2,2,1,34,0,0,0,0,0,0
197,20000,2,1,2,22,0,18553,19446,1500,93,0
198,500000,2,1,1,34,0,412,138,138,0,0
199,30000,2,3,2,22,2,29010,29256,1000,97,1
200,180000,2,1,1,38,0,750,0,0,0,0
201,140000,1,1,2,31,2,27123,27299,25000,19,0
202,140000,2,1,2,26,0,13424,18000,10000,10,0
203,120000,1,2,2,26,0,107314,110578,5000,89,0
204,360000,2,2,1,48,0,226430,231878,9100,63,0
